StateID,State,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,adh_APRavg,Pop_2019,Hispanic,NHBlack,NHWhite,Age,PopDensity,DistancePolicy,tot_Cases_Jul,DistanceNone,DistanceStrict,DistCat,tot_cases_Apr,tot_cases_May,tot_cases_Jun,tot_cases_Aug,tot_cases_Sep,newCases_May,newCases_Jun,newCases_Jul,newCases_Aug,newCases_Sep,case_rate_May,case_rate_Jun,case_rate_Jul,case_rate_Aug,case_rate_Sep,EndStayHome,NoStayHomePolicy,NoHomeMay,MaskPolStart,MaskJunPol,MaskJulPol,MaskAugPol,MaskSepPol,MaskPolStop,tot_cases_Oct,newCases_Oct,case_rate_Oct,AdhSEPavg,Wk_case_rate_Sep,Wk_case_rate_Oct,Wk_case_rate_Aug,Wk_case_rate_Jul,Wk_case_rate_Jun,Wk_case_rate_May,Wk_MayHI,Wk_JunHI,Wk_JulHI,Wk_AugHI,Wk_SepHI,Wk_OctHI,maskGT75,maskSEP75,maskJUL75,maskAUG75,strictJunPol,strictJulPol,strictSeplPol,strictSepPol,strictAuglPol,strictAugPol
1,Alabama,65.35483871,62.67741935,27.6,30.13,24.67,4903185,4.1,26.7,65.5,39.3,94.4,Recommen,87867,0,1,3,7306,18245,38064,126058,154701,10939,19819,49803,38191,28643,223.099883035211,404.206653430372,1015.72753220611,778.901877045227,584.171309057276,4/30/2020,0,1,7/16/2020,0,1,1,1,0,192285,37584,766.522168753575,59.83,265.532413207853,348.419167615262,354.04630774783,461.694332820958,183.730297013806,101.409037743278,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
2,Alaska,56.83870968,57.4516129,46.03,42.42,33.3,731545,7,2.9,60.6,34.9,1.2,Recommen,2990,0,1,3,355,460,940,5263,7824,105,480,2050,2273,2561,14.3531840146539,65.6145554955608,280.228830762291,310.712259669603,350.08099296694,4/24/2020,0,1,4/24/2020,1,1,1,1, ,15274,7450,1018.39258008735,52.33,159.127724075882,462.905718221522,141.232845304365,127.376741255587,29.8247979525276,6.52417455211542,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3,Arizona,87.25806452,83.12903226,21.77,17.55,14.9,7278717,31.4,4.1,54.7,38,63,Recommen,174010,0,1,3,7648,19936,79215,201835,218507,12288,59279,94795,27825,16672,168.820961166645,814.415507568161,1302.35864370053,382.278909868319,229.051356166203,5/16/2020,0,0,0,0,0,0,0,0,245946,27439,376.97577746188,67.97,104.11425280282,171.352626119036,173.763140849236,591.98120168206,370.188867076437,76.7368005302933,0,1,1,0,0,0,1,0,1,1,0,0,0, ,0, 
4,Arkansas,59,58.25806452,36.9,38.19,27.57,3017804,7.4,15.2,72.3,38.1,56,None,42511,1,0,1,3255,7253,20777,61224,83697,3998,13524,21734,18713,22473,132.480439418862,448.14043589312,720.19256386432,620.086659040812,744.680569049547,0,1,1,7/20/2020,0,1,1,1,0,112190,28493,944.163371776298,60.2,338.491167749794,429.165168989226,281.857572291278,327.360256301964,203.700198133236,60.2183815540283,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
5,California,74.61290323,74.29032258,48.7,45.23,38.07,39512223,39.1,5.5,37,36.7,251.3,Recommen,493588,0,1,3,48917,110583,222917,704085,810625,61666,112334,270671,210497,106540,156.06816149018,284.301898174648,685.031059882406,532.738945110732,269.638081360292,0,0,0,6/18/2020,1,1,1,1,0,922005,111380,281.887455433727,72.47,122.562764254678,128.130661560785,242.154065959424,311.377754492003,129.228135533931,70.9400734046272,0,0,1,1,0,0,0,0,0,0,0,0,0, ,0, 
6,Colorado,61.70967742,61.12903226,48,45.71,31.1,5758736,21.5,3.9,68.2,36.9,52,Recommen,46809,0,1,3,15182,26378,32715,57424,70536,11196,6337,14094,10615,13112,194.41766387624,110.041509108943,244.741207098224,184.328644341397,227.688853942949,4/27/2020,0,1,7/16/2020,0,1,1,1,0,107350,36814,639.272229183626,63.57,103.494933610431,290.578285992557,83.7857474279078,111.246003226466,50.0188677767924,88.3716653982907,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
7,Connecticut,73.35483871,78.5483871,55.4,47.68,22.97,3565287,16.1,9.9,66.7,41.1,738.1,None,49810,1,0,1,27700,42201,46514,52879,57550,14501,4313,3296,3069,4671,406.727424748695,120.972028338813,92.446975516978,86.0800266570405,131.013295703824,0,1,1,4/20/2020,1,1,1,1,0,71207,13657,383.054716212187,71.37,59.5514980471928,174.115780096449,39.1272848441093,42.0213525077173,54.9872856085512,184.876102158498,0,0,0,0,0,0,1,0,1,0,0,0,0, ,0, 
8,Delaware,68.41935484,65.74193548,39.83,36.39,25.47,973764,9.3,21.5,62.2,41.1,460.8,Recommen,14877,0,1,3,4734,9606,11510,17535,20613,4872,1904,3367,2658,3078,500.326567833685,195.52992306144,345.771665413796,272.961415702367,316.093016377685,6/1/2020,0,0,4/28/2020,1,1,1,1,0,25126,4513,463.45931868502,70.9,143.678643808039,210.663326675009,124.073370773803,157.168938824453,88.8772377552,227.421167197129,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
9,District of Columbia,71.77419355,69.38709677,39.87,36.39,25.63,705749,11,45.3,36.5,33.9,10298,Recommen,12126,0,1,3,4323,8801,10327,13992,15326,4478,1526,1799,1866,1334,634.503201563162,216.22418168499,254.906489417626,264.399949557137,189.019042180719,5/29/2020,0,0,4/17/2020,1,1,1,1,0,17266,1940,274.885263741075,72.33,85.9177464457812,124.947847155034,120.181795253244,115.866586098921,98.2837189477227,288.410546165074,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
10,Florida,71.64516129,66.90322581,45.1,43.45,35.03,21477737,25.6,15.4,53.8,42.2,353.4,Baseline,465030,0,0,2,33690,54764,149781,616629,698051,21074,95017,315249,151599,81422,98.1202069845627,442.397632488004,1467.79430253755,705.842519628581,379.099529899263,5/18/2020,0,0,0,0,0,0,0,0,791997,93946,437.411073615437,65.93,172.317968136028,198.823215279744,320.837508922082,667.179228426161,201.089832949093,44.6000940838921,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0, 
11,Georgia,59.96774194,57.61290323,34.77,32.13,24.6,10617423,9.6,31.1,52.6,36.8,168.4,Baseline,186352,0,0,2,26095,47009,81291,270471,318026,20914,34282,105061,84119,47555,196.978117948206,322.884375992178,989.515064060271,792.273228635611,447.895878312468,5/1/2020,0,1,0,0,0,0,0,0,360790,42764,402.771934395003,58.27,203.589035596576,183.078151997729,360.124194834369,449.779574572851,146.76562545099,89.5355081582757,0,0,1,1,1,0,0,0,0,0,0,0,0, ,0, 
12,Hawaii,77.58064516,78.09677419,46.4,42.52,34.1,1415872,10.5,16,21.8,39.3,222.9,Recommen,1989,0,1,3,562,607,842,7835,12589,45,235,1147,5846,4754,3.17825340143742,16.5975455408399,81.0101478099715,412.890430773403,335.764814898522,0,0,1,4/16/2020,1,1,1,1,0,14995,2406,169.930615196854,73.77,152.620370408419,77.2411887258427,187.677468533365,36.822794459078,7.54433888219993,1.44466063701701,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
13,Idaho,41.06451613,44.35483871,34,28.03,20.8,1787065,12.4,.6,82,36.8,19.8,Recommen,20721,0,1,3,2015,2839,6117,32088,42048,824,3278,14604,11367,9960,46.1091230593179,183.42925411219,817.205865483348,636.070875989402,557.338429212144,5/1/2020,0,1,0,0,0,0,0,0,64608,22560,1262.40511676968,42.6,253.335649641884,573.82050762258,289.123125449728,371.45721158334,83.3769336873589,20.95869229969,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
14,Illinois,61.51612903,65.64516129,32.4,30.87,21.63,12671821,17.2,14,61.2,38.3,89,Recommen,180118,0,1,3,52918,120260,144238,236725,295763,67342,23978,35880,56607,59038,531.431117911151,189.223001177179,283.147939037333,446.715590442763,465.899889210872,5/29/2020,0,0,5/1/2020,1,1,1,1,0,416599,120836,953.580389116923,64.63,211.772676914033,433.445631416783,203.052541110347,128.703608653333,86.0104550805358,241.559599050523,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
15,Indiana,61.90322581,52.70967742,19.63,23.71,22.67,6732219,6.9,9.2,79.2,37.8,181,Recommen,66154,0,1,3,17835,34574,45594,94196,120019,16739,11020,20560,28042,25823,248.640158616349,163.690456296802,305.397076357736,416.534280896091,383.573380485691,5/18/2020,0,0,7/27/2020,0,1,1,1,0,179358,59339,881.418147567689,59.23,174.351536584405,400.644612530768,189.333764043678,138.81685288988,74.4047528621827,113.018253916522,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
16,Iowa,48.61290323,50.48387097,30.5,24.61,21.63,3155070,5.9,3.3,85.9,38.1,57,None,44582,1,0,1,7145,19552,28947,64823,88830,12407,9395,15635,20241,24007,393.240086590789,297.774692796039,495.551604243329,641.538856507146,760.902293768443,0,1,1,0,0,0,0,0,0,127966,39136,1240.41621897454,48.1,345.864678985656,563.825554079336,291.608571139612,225.250729201513,135.352133089109,178.745493904904,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
17,Kansas,49.58064516,50.83870968,30.5,24.61,25,2913314,11.9,5.5,75.9,37.1,36,Recommen,27812,0,1,3,4238,9719,14443,42612,59749,5481,4724,13369,14800,17137,188.136259943144,162.15210581489,458.893205469785,508.012524568241,588.230448211212,5/4/2020,0,1,7/3/2020,0,1,1,1,0,85181,25432,872.95773816348,55.37,267.377476459642,396.798971892491,230.914783894655,208.587820668084,73.7055026431318,85.5164817923381,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
18,Kentucky,70.48387097,73.61290323,36.87,25.52,17.2,4467673,3.5,8,84.6,39.1,114,None,30151,1,0,1,4708,9704,15624,48396,68840,4996,5920,14527,18245,20444,111.825552138664,132.507459699938,325.158085652195,408.378142267798,457.598396301609,0,1,1,5/11/2020,1,1,1,1,0,107219,38379,859.037803348634,63.3,207.999271046186,390.471728794833,185.626428303545,147.799129841907,60.2306634999717,50.8297964266653,0,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
19,Louisiana,58.06451613,56.87096774,36.9,38.19,27.63,4648794,5.2,32.1,58.5,37.3,108,Recommen,116280,0,1,3,28044,39916,58095,148894,167458,11872,18179,58185,32614,18564,255.378061492938,391.047656661061,1251.61493497023,701.558296624888,399.329374457117,5/15/2020,0,0,7/11/2020,0,1,1,1,0,186649,19191,412.816743439266,57.53,181.513352025962,187.643974290576,318.890134829495,568.915879531923,177.748934845937,116.080937042244,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
20,Maine,65.03225806,70.96774194,55.4,47.68,22.97,1344212,1.6,1.2,93.4,45.1,44,Recommen,3937,0,1,3,1123,2349,3294,4548,5431,1226,945,643,611,883,91.2058514579546,70.3014107893695,47.8347165476874,45.4541396743966,65.6890430973686,5/31/2020,0,0,5/1/2020,1,1,1,1,0,6668,1237,92.0241747581483,61.1,29.8586559533493,41.8291703446128,20.6609725792712,21.7430529762216,31.9551867224407,41.4572052081612,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
21,Maryland,73.41935484,71.09677419,39.87,36.35,23.87,6045680,10.1,29.4,50.7,38.8,627,Recommen,89365,0,1,3,23472,53327,67918,108863,125510,29855,14591,21447,19498,16647,493.823688981223,241.345886649641,354.749176271321,322.511280782311,275.353640946924,5/15/2020,0,0,4/18/2020,1,1,1,1,0,146145,20635,341.318098212277,71.9,125.160745884965,155.14459009649,146.596036719232,161.249625577873,109.702675749837,224.465313173283,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
22,Massachusetts,74.64516129,79.64516129,55.4,47.68,23.1,6892503,11.8,7,71.5,39.5,894,Recommen,117612,0,1,3,62205,96965,108882,128202,139649,34760,11917,8730,10590,11447,504.316066311469,172.898002365759,126.659357275579,153.645199719173,166.078999167646,5/18/2020,0,0,5/6/2020,1,1,1,1,0,164417,24768,359.346960023086,71.7,75.490454167112,163.339527283221,69.8387271450787,57.5724351252632,78.5900010753449,229.234575596122,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1
23,Michigan,73.93548387,74.64516129,37.4,37.42,30.23,9986857,5.1,13.6,75,39.8,178,Recommen,90574,0,1,3,41379,57397,70728,113025,138014,16018,13331,19846,22451,24989,160.390801630583,133.485439913679,198.721179245883,224.805461818468,250.218862651182,6/1/2020,0,0,4/27/2020,1,1,1,1,0,197406,59392,594.701616334348,65.03,113.735846659628,270.318916515613,102.184300826576,90.3278087481286,60.675199960763,72.9049098320832,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
24,Minnesota,57.70967742,59.32258065,30.5,24.61,21.7,5639632,5.3,6.4,79.9,38.2,72,Recommen,55188,0,1,3,5136,25208,36716,75864,99134,20072,11508,18472,20676,23270,355.909747302661,204.055867475041,327.539101842106,366.61966596402,412.615574916945,5/18/2020,0,0,7/24/2020,0,1,1,1,0,148472,49338,874.844316083035,61.83,187.552534053157,397.656507310471,166.645302710918,148.88140992823,92.7526670341095,161.777157864846,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
25,Mississippi,53.03225806,42.48387097,30.77,27.84,18.03,2976149,2.9,37.9,56.6,37.7,64,Recommen,59881,0,1,3,7212,15752,27900,83584,98886,8540,12148,31981,23703,15302,286.947998907313,408.178488375414,1074.57657529915,796.431899074945,514.154365255234,4/27/2020,0,1,8/5/2020,0,0,1,1,0,120500,21614,726.240520887899,60.97,233.70652966147,330.109327676318,362.014499579521,488.443897863251,185.535676534279,130.430908594233,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
26,Missouri,47.42857143,59.74193548,34.67,26.23,21.83,6137428,4.2,11.4,79.4,38.8,90,Baseline,50323,0,0,2,7562,13147,21551,84697,126113,5585,8404,28772,34374,41416,90.9990308643947,136.930323255931,468.795723550647,560.071743407825,674.810360300764,5/4/2020,0,1,0,0,0,0,0,0,185535,59422,968.190584068766,51.57,306.731981954893,440.086629122166,254.578065185375,213.088965250294,62.241056025423,41.3631958474521,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
27,Montana,52.8,57.61290323,34,28.03,21,1068778,3.7,.4,86.3,40.1,7,Recommen,3965,0,1,3,453,515,1018,7493,13393,62,503,2947,3528,5900,5.80101761076669,47.0630944873491,275.735466111765,330.096615012659,552.032321024572,4/26/2020,0,1,0,0,0,0,0,0,32801,19408,1815.90564177032,51.63,250.923782283896,825.411655350146,150.043915914845,125.334302778075,21.3923156760678,2.63682618671213,0,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
28,Nebraska,46.2,48.51612903,31.03,24.61,21.67,1934408,10.9,4.5,79,36.7,25,None,26211,1,0,1,4281,14101,19177,34287,45564,9820,5076,7034,8076,11277,507.648851741721,262.405862672197,363.625460606036,417.492069925269,582.969053064297,0,1,0,0,0,0,0,0,0,70732,25168,1301.06988804844,50.43,264.985933211044,591.39540365838,189.769122693304,165.284300275471,119.275392123726,230.749478064419,1,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
29,Nevada,66.4,69.4,34,28.03,21.27,3080156,28.8,8.9,48.8,38.2,29,Recommen,48312,0,1,3,5007,8610,18684,69484,80085,3603,10074,29628,21172,10601,116.974594793251,327.061356632586,961.899332371477,687.367782670748,344.170879656745,5/9/2020,0,1,6/26/2020,1,1,1,1,0,100763,20678,671.329633953605,66.73,156.441308934884,305.149833615275,312.439901213976,437.226969259762,148.664253014812,53.1702703605685,0,0,1,1,0,1,0,0,0,0,0,0,0, ,0, 
